ISBN,タイトル,サブタイトル,巻,作者1
9784048936118,タタの魔法使い,,1,うーぱー
9784094530537,地球外少年少女,前編 地球外からの使者,1,カミツキレイニー
9784094530544,地球外少年少女,後編 はじまりの物語,2,カミツキレイニー
9784094515459,さびしがりやのロリフェラトゥ,,ONLY ONE,さがら総
9784040705484,デート・ア・ライブマテリアル,,1,ファンタジア文庫編集部
9784048701747,19-ナインティーン-,,ONLY ONE,メディアワークス文庫
9784840111058,ゼロの使い魔,,1,ヤマグチノボル
9784840111447,ゼロの使い魔,風のアルビオン,2,ヤマグチノボル
9784840111966,ゼロの使い魔,始祖の祈祷書,3,ヤマグチノボル
9784840112369,ゼロの使い魔,誓約の水精霊,4,ヤマグチノボル
9784840112901,ゼロの使い魔,トリスタニアの休日,5,ヤマグチノボル
9784840114493,ゼロの使い魔,贖罪の炎赤石,6,ヤマグチノボル
9784840115018,ゼロの使い魔,銀の降臨祭,7,ヤマグチノボル
9784840115421,ゼロの使い魔,望郷の小夜曲,8,ヤマグチノボル
9784840117074,ゼロの使い魔,双月の舞踏会,9,ヤマグチノボル
9784840117661,ゼロの使い魔,イーヴァルディの勇者,10,ヤマグチノボル
9784840118590,ゼロの使い魔,追憶の二重奏,11,ヤマグチノボル
9784840119009,ゼロの使い魔,妖精達の休日,12,ヤマグチノボル
9784840121101,ゼロの使い魔,聖国の世界扉,13,ヤマグチノボル
9784840123198,ゼロの使い魔,水都市の聖女,14,ヤマグチノボル
9784840124188,ゼロの使い魔,忘却の夢迷宮,15,ヤマグチノボル
9784840126649,ゼロの使い魔,ド・オルニエールの安穏,16,ヤマグチノボル
9784840128070,ゼロの使い魔,黎明の修道女,17,ヤマグチノボル
9784840131537,ゼロの使い魔,滅亡の精霊石,18,ヤマグチノボル
9784840134545,ゼロの使い魔,始祖の円鏡,19,ヤマグチノボル
9784840138215,ゼロの使い魔,古深淵の聖地,20,ヤマグチノボル
9784040681184,ゼロの使い魔,六千年の真実,21,ヤマグチノボル
9784040690841,ゼロの使い魔,ゼロの神話,22,ヤマグチノボル
9784840117265,タバサの冒険 ゼロの使い魔外伝,,1,ヤマグチノボル
9784840120586,タバサの冒険 ゼロの使い魔外伝,,2,ヤマグチノボル
9784840127271,タバサの冒険 ゼロの使い魔外伝,,3,ヤマグチノボル
9784840130530,烈風の騎士姫,,1,ヤマグチノボル
9784840132466,烈風の騎士姫,,2,ヤマグチノボル
9784040692333,ゼロの使い魔Memorial BOOK,,ONLY ONE,ヤマグチノボル
9784049164138,こちら、終末停滞委員会。,,4,逢縁奇演
9784062940344,小説の神様,,ONLY ONE,相沢沙呼
9784040705330,ゲーマーズ！,雨野景太と青春コンティニュー,1,葵せきな
9784040705347,ゲーマーズ！,天道花憐と不意打ちハッピーエンド,2,葵せきな
9784040707532,ゲーマーズ！,星ノ守千秋と初恋ニューゲーム,3,葵せきな
9784040707549,ゲーマーズ！,亜玖璃と無自覚クリティカル,4,葵せきな
9784040709697,ゲーマーズ！,ゲーマーズと全滅ゲームオーバー,5,葵せきな
9784040709703,ゲーマーズ！,ぼっちゲーマーと告白チェインコンボ,6,葵せきな
9784040709710,ゲーマーズ！,ゲーマーズと口づけデッドエンド,7,葵せきな
9784040723693,ゲーマーズ！,星ノ守心春と逆転バックアタック,8,葵せきな
9784040723709,ゲーマーズ！,雨野景太と青春スキルリセット,9,葵せきな
9784040723716,ゲーマーズ！,天道花憐と不意打ちアップデート,10,葵せきな
9784040729008,ゲーマーズ！,ゲーマーズと初恋マルチエンド,11,葵せきな
9784040729015,ゲーマーズ！,ゲーマーズと青春コンティニュー,12,葵せきな
9784040723723,ゲーマーズ！DLC,,1,葵せきな
9784040730257,ゲーマーズ！DLC,,2,葵せきな
9784040731421,ゲーマーズ！DLC,,3,葵せきな
